,Song Name,Album Name,Group Name,Lyrics
0,'Til Death Do Us Unite,'Til Death Do Us Unite,Sodom,"I feel a rifle bullet bore into my heart A sudden impact shock that stops my pulsing blood I see the glory shining light of paradise And insincerities, forever left behind  'Til death do us unite  I see the mournful flowers fading on my grave And all my friends are crying to god my soul to save Hateful faces spitting on my last resting place And all my foes are praying to hell my mind to take  I hear the echos of your prayers and your lies Your falseness and your greed mendacious sorry sights My hopes are buried by my broken dignity Still god will bless and curse us all To all eternity"
1,(Can't Get My) Head Around You,Greatest Hits [Australia Bonus Tracks],The Offspring,"Deep inside your soul, there's a hole You don't want to see Every single day, what you say Makes no sense to me ..."
2,(Gotta Get Some Action) Now!,Supershitty to the Max!,The Hellacopters,"There comes a time when a man's gotta choose  A time when you have to decide what to do  Watcha' gonna do? Well I got better things to do with my time  Than to sit on my ass and throw pearls before swine  Gotta-gotta-go-go light up the ignition  Gotta kill that sacred cow  Please spare me all of your futuristic visions  'Cause I gotta get some action  Gotta get some action now!   Things have been goin' on for much too long  Yeah I've heard it all before and I think I know the song  Careful now kid, you might just fall for their ruse  Well I couldn't really bother 'cause I got nothin' to lose   Gotta-gotta-go-go light up the ignition  Gotta kill that sacred cow  Please spare me all of your futuristic visions  'Cause I gotta get some action  'Cause I gotta get some action  'Cause I gotta get some action   Gotta-gotta-go-go light up the ignition  Gotta kill that sacred cow  Please spare me all of your futuristic visions  'Cause I gotta get some action  Gotta get some action now!"
3,(Never) Say Goodbye,Return,The Impossibles,"Some summer Sunday Drifting between sleep and waking Your absence brought me to Sick feelings filled me Slowly remembering the bitterness of the final kiss, Motionless We never said goodbye When we gave in, but we don't mind If we never say goodbye, There'll be no end, there'll be no end  Stream of consciousness Leads me to drowning dreams Looking up, you're colored baby-blue The frustration of knowing what it's like to breathe you in, Remember then, remember when you let me in Hold on, hold on, we can be strong dig our fingers deep into each other"
4,(No More) Paddy's Lament,Float,Flogging Molly,"Wipe the blood from your lip With the flesh of your hand Theres no thorn in the side left to grow So lets cherish the names that we lost for an age With the rue now the supper must go Where traditions they blend lives a home on the mend The grass glistens now for alls eyes So lets sever the shame we have come to reclaim With the waters retreat feel the shore for us Woth the red rose pales lay a thousand graves many more Where the ghost still haunt for the day we come to the fore   Don't look back For whats dead now is safe The exiled, a home where the soul kept safe Take me back on the crest of a wave No more tears for you paddy's lament No more tears No more paddy's Lament  Rip the greet from his heart Theres no sorrow tonight For once banished dreams sleep divine Where the silence you hear is the prosper we shared The only blade is a razor sharp smile Still the church bell rings the collective sings that still roam But the only thing left is the pain of nothing once more    Grab the leaf of the branch from the tree in the ground Where the roots claimed the earth many tioled To a land that now stands under no-ones command And her beauty let no man destroy So remember the gun and the damage it's done The last drop as been spilled for you and I Let there be no despair for the rule we once shared Brush the tear from the eye that still shines  Where the red rose pales lay a thousand graves many more Where the ghost still haunt for the day we come to the fore    No more tears No more paddy's Lament"
5,(White Man) In Hammersmith Palais,The Clash [US],The Clash,"Midnight to six man For the first time from Jamaica Dillinger and Leroy Smart Delroy Wilson, your cool operator  Ken Boothe for UK pop reggae With backing bands sound systems And if they've got anything to say There's many black ears here to listen  But it was Four Tops all night with encores from stage right Charging from the bass knives to the treble But onstage they ain't got no roots rock rebel Onstage they ain't got no roots rock rebel  Dress back jump back, this is a bluebeat attack 'Cause it won't get you anywhere Fooling with the guns The British Army is waiting out there An' it weighs fifteen hundred tons  White youth, black youth Better find another solution Why not phone up Robin Hood And ask him for some wealth distribution  Punk rockers in the UK They won't notice anyway They're all too busy fighting For a good place under the lighting  The new groups are not concerned With what there is to be learned They got Burton suits, ha, you think it's funny Turning rebellion into money  All over people changing their votes Along with their overcoats If Adolf Hitler flew in today They'd send a limousine anyway  I'm the all night drug-prowling wolf Who looks so sick in the sun I'm the white man in the Palais Just lookin' for fun  I'm only Looking for fun  I'm only Looking for fun"
6,/BREATH,bi/MENTAL,Le Butcherettes,"Walking towards the running water No intentions of bringing others Sea sand grinds against my skin  This is good-bye, this is good-bye  The wetness conquers all my truth Allowing my lungs to be free Fishing for the absolute with no memories With no memories of the past  This is goodbye farewell to all known Gods This is goodbye farewell to all the  Another world has come to play My last breath numbs them Sinking deep into a daze Volcanic ashes cover me I can not hear you speak I'm sorry for this sudden flight I'll think no more as my breath goes on Lives free!  Breath, breath Breath, breath This is goodbye, farewell to all the known Gods! This is goodbye, farewell to all the known Love! This is goodbye, farewell to all the known Gods! This is goodbye, farewell to all the"
7,"1,000 Hours","1,039/Smoothed Out Slappy Hours",Green Day,"Starlit night The moon is shining bright You are the one I need Up at your window I see a shadow Silhouette of your grace Here's this flower I picked for all the hours That you've spent with me The one I love That I've been dreaming of Sailing across the sea  Let my hands flow through Your hair, moving closer A kiss we'll share Passionate love to be all night long We'll never break, as one too strong  Nothing's more Than what our love is for As I kiss your cheek Oh so softly Hands flowing down my back One thousand hours, I'll never leave Our romance Is a love trance And now we'll never part One thousand hours Of such a love shower We'll never stop once we start  Let my hands flow through Your hair, moving closer A kiss we'll share Passionate love to be all night long We'll never break, as one too strong  Let my hands flow through Your hair, moving closer A kiss we'll share Passionate love to be all night long We'll never break, as one too strong  Strong"
8,10 Years Of Service,"Live on Lansdowne, Boston MA",Dropkick Murphys,"The status of our future in both past and present time, Is relegated to a member of a higher class than mine. To Determine and direct the lives of family men who bear the burden Of living up to standard that doesn't exist in 1999    Who's gonna save us from this lonely picket line, 10 years of service but I'm still not worth your time. And I've seen men give their lives, And heard the stories that they tell of how they labored For this company which sold it's soul to hell  Times may be changing but I'll never leave behind the hopes And thoughts I have of better days for families such as mine. Because if history repeats itself and time will surely tell. What goes around will come around and you'll know our pain too well."
9,1000 Gute Grunde,Reich and Sexy: Best of Die Toten Hosen,Die Toten Hosen,"Hohe Berge, weite Täler Klare Flüsse, blaue Seen Dazu ein paar Naturschutzgebiete Alles wunderschön  Wir lieben unser Land  Totale Pflichterfüllung Ordnung und Sauberkeit Alles läuft hier nach Fahrplan Der Zufall ist unser Feind  Wir lieben unser Land Unser Fernsehprogramm, unsere Autobahn Wir lieben unser Land  Es gibt tausend gute Gründe Auf dieses Land stolz zu sein Warum fällt uns jetzt auf einmal Kein einziger mehr ein?  Unser Lieblingswort heißt Leistung Wir sind auf Fortschritt eingestellt Nichts ist hier un-käuflich Wir tun alles für gutes Geld  Wir lieben unser Land All die Korruption, die Union Wir lieben unser Land  Es gibt tausend gute Gründe Auf dieses Land stolz zu sein Warum fällt uns jetzt auf einmal Kein einziger mehr ein?  Es gibt tausend gute Gründe Auf dieses Land stolz zu sein Warum fällt uns jetzt auf einmal Kein einziger mehr ein?  Unsere Pässe sind fälschungssicher Und unser Lebenslauf bekannt Keiner scheint hier zu merken Dass man kaum noch atmen kann  Wir lieben unser Land Für jeden Querkopf ein Gummigeschoss Wir lieben unser Land Wir lieben unser Land  Wo sind all die ganzen Gründe Auf dieses Land stolz zu sein? So sehr wir auch nachdenken Uns fällt dazu nichts ein  Wo sind all die ganzen Gründe Auf dieses Land stolz zu sein? So sehr wir auch nachdenken Nichts fällt uns dazu ein  All die ganzen Gründe All die ganzen Gründe All die ganzen Gründe All die ganzen Gründe"
